ok,timestamp,error_msg,modo,centro_x,centro_y,amplitud_um,wtr,rtr,wgc,n_pre,n_post,n_total,speedupdown,dco,vco,svo,confirmar_lazo_abierto,drc_tablas,drc_fuentes,drc_opciones,tabla,wavegen,eje,leer_recorder_completo,t_extra_grabacion_s,carga_rapida,wos,etiqueta,repeticion,t_asentamiento_s,guardar_figura,notas,t_servo_us,dt_grabacion_us,duracion_wave_ms,ventana_grabada_ms,n_puntos_wave,n_muestras_pedidas,duracion_host_ms,muestras_leidas,ventana_real_ms,ventana_post_wave_ms,error_max_nm,error_rms_nm,frac_usable,dx_por_punto_nm,recorrido_usable_um,t_acel_ms,t_constante_ms,t_usable_ms,t_3tau_necesario_ms,hay_zona_usable,v_um_s,error_mediano_nm,tau_desde_lag_ms,residuo_recta_usable_nm,residuo_recta_usable_max_nm,residuo_en_pixeles,error_max_giro_nm,exceso_giro_nm,error_rms_total_nm,error_rms_lag_corregido_nm,archivo
True,20260907_172911,,rampa,100.0,100.0,1.0,10,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w10_sud0,0,0.5,False,zona usable vs speedupdown y velocidad,39.999984,39.999984,159.99993600000002,327.679868928,400,8192,227.86283493041992,8192,327.639868944,167.63993294399998,346.8,290.15362072514193,0.1319580078125,10.050004019960761,1.0853999999999928,0.1599999360000055,79.55996817600274,43.19998272000001,36.31998547200125,True,25.12600997317676,-312.89999999999907,12.45323074909367,52.621868962326786,203.93652041003918,5.2360047675415995,346.8999999999909,33.999999999991815,211.56045317279774,225.25990004517126,E517_rampa_scan_w10_sud0_20260907_172911_r0
True,20260907_172915,,rampa,100.0,100.0,1.0,10,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w10_sud0,1,0.5,False,zona usable vs speedupdown y velocidad,39.999984,39.999984,159.99993600000002,327.679868928,400,8192,226.96399688720703,8192,327.639868944,167.63993294399998,348.3,289.4028533261607,0.1319580078125,10.050004019960761,1.0853999999999928,0.1599999360000055,79.55996817600274,43.19998272000001,36.31998547200125,True,25.12600997317676,-311.70000000000186,12.405471474888245,53.32873022664383,207.46338126026842,5.306339193569003,347.29999999998995,35.599999999988086,211.48685546430437,223.7430344367988,E517_rampa_scan_w10_sud0_20260907_172915_r1
True,20260907_172920,,rampa,100.0,100.0,1.0,10,1,1,50,2000,400,20,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w10_sud20,0,0.5,False,zona usable vs speedupdown y velocidad,39.999984,39.999984,159.99993600000002,327.679868928,400,8192,226.96590423583984,8192,327.639868944,167.63993294399998,385.79999999999995,324.34940451041575,0.0880126953125,11.200004479940981,0.8046999999999969,25.759989696000886,65.15997393600225,28.799988479999996,36.31998547200125,True,27.952673298775757,-347.0999999999975,12.417416977974678,43.25654420632518,163.63962308925295,3.862189902137711,384.9000000000018,37.800000000004275,224.6409472239594,255.5102997198713,E517_rampa_scan_w10_sud20_20260907_172920_r0
True,20260907_172925,,rampa,100.0,100.0,1.0,10,1,1,50,2000,400,20,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w10_sud20,1,0.5,False,zona usable vs speedupdown y velocidad,39.999984,39.999984,159.99993600000002,327.679868928,400,8192,231.05311393737793,8192,327.639868944,167.63993294399998,386.40000000000003,324.14281739876503,0.0880126953125,11.200004479940981,0.8046999999999969,25.759989696000886,65.15997393600225,28.799988479999996,36.31998547200125,True,27.952673298775757,-346.2999999999994,12.388797175086873,43.62913350245035,164.67823437923812,3.8954567902708783,386.5000000000123,40.20000000001289,225.07174279664144,254.41362652781953,E517_rampa_scan_w10_sud20_20260907_172925_r1
True,20260907_172930,,rampa,100.0,100.0,1.0,10,1,1,50,2000,400,40,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w10_sud40,0,0.5,False,zona usable vs speedupdown y velocidad,39.999984,39.999984,159.99993600000002,327.679868928,400,8192,231.86802864074707,8192,327.639868944,167.63993294399998,430.20000000000005,369.81400147430037,0.0369873046875,12.600005040038377,0.37820000000000675,56.19997752000194,48.87998044800168,12.079995167999996,36.31998547200125,True,31.512988376674976,-390.6999999999954,12.398062517269244,31.016201029296482,109.65180444051725,2.4616022716449653,430.30000000000257,39.600000000007185,236.2775155055938,294.3176930393974,E517_rampa_scan_w10_sud40_20260907_172930_r0
True,20260907_172934,,rampa,100.0,100.0,1.0,10,1,1,50,2000,400,40,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w10_sud40,1,0.5,False,zona usable vs speedupdown y velocidad,39.999984,39.999984,159.99993600000002,327.679868928,400,8192,226.97210311889648,8192,327.639868944,167.63993294399998,431.5,368.6791486574096,0.0369873046875,12.600005040038377,0.37820000000000675,56.19997752000194,48.87998044800168,12.079995167999996,36.31998547200125,True,31.512988376674976,-390.1000000000039,12.37902274887852,31.819871397840163,110.31429454988029,2.525385608714268,431.6000000000031,41.499999999999204,236.15089654180866,293.3927592688818,E517_rampa_scan_w10_sud40_20260907_172934_r1
True,20260907_172939,,rampa,100.0,100.0,1.0,10,1,1,50,2000,400,80,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w10_sud80,0,0.5,False,zona usable vs speedupdown y velocidad,39.999984,39.999984,159.99993600000002,327.679868928,400,8192,225.92806816101074,8192,327.639868944,167.63993294399998,560.6,487.0839727701605,0.0,17.100006840005516,0.0,116.159953536004,15.559993776000535,0.0,36.31998547200125,False,42.74818795155861,-492.3000000000002,11.516277615272596,5.863157407310576,16.178038362667735,0.3428745650319684,559.599999999989,67.29999999998881,257.65277618091073,389.1068972817201,E517_rampa_scan_w10_sud80_20260907_172939_r0
True,20260907_172944,,rampa,100.0,100.0,1.0,10,1,1,50,2000,400,80,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w10_sud80,1,0.5,False,zona usable vs speedupdown y velocidad,39.999984,39.999984,159.99993600000002,327.679868928,400,8192,226.89414024353027,8192,327.639868944,167.63993294399998,559.2,487.70819062538277,0.0,17.100006840005516,0.0,116.159953536004,15.559993776000535,0.0,36.31998547200125,False,42.74818795155861,-493.89999999999645,11.553706102342257,6.979375099971551,18.374210005930536,0.4081504273813086,556.4999999999998,62.60000000000332,257.4233939114901,390.26638261189,E517_rampa_scan_w10_sud80_20260907_172944_r1
True,20260907_172949,,rampa,100.0,100.0,1.0,40,4,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w40_sud0,0,0.5,False,zona usable vs speedupdown y velocidad,39.999984,159.999936,639.9997440000001,1310.719475712,400,8192,664.031982421875,8192,1310.559475776,670.5597317759999,103.2,68.63359770576817,0.215087890625,10.050004019960761,1.7687999999999988,0.639999744000022,318.23987270401096,281.759887296,36.31998547200125,True,6.28150249329419,-69.49999999999079,11.064231857614548,9.677675427121136,75.38643650634924,0.9629523936408256,103.20000000000107,33.70000000001028,57.39127418040765,43.37946862675557,E517_rampa_scan_w40_sud0_20260907_172949_r0
True,20260907_172954,,rampa,100.0,100.0,1.0,40,4,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,scan_w40_sud0,1,0.5,False,zona usable vs speedupdown y velocidad,39.999984,159.999936,639.9997440000001,1310.719475712,400,8192,658.858060836792,8192,1310.559475776,670.5597317759999,103.8,68.14052495598368,0.215087890625,10.050004019960761,1.7687999999999988,0.639999744000022,318.23987270401096,281.759887296,36.31998547200125,True,6.28150249329419,-69.10000000000593,11.00055282534291,9.561847124767006,73.52232125941782,0.9514271940365192,103.79999999999256,34.69999999998663,57.09366604870277,43.580599396972616,E517_rampa_scan_w40_sud0_20260907_172954_r1
