ok,timestamp,error_msg,modo,centro_x,centro_y,amplitud_um,wtr,rtr,wgc,n_pre,n_post,n_total,speedupdown,dco,vco,svo,confirmar_lazo_abierto,drc_tablas,drc_fuentes,drc_opciones,tabla,wavegen,eje,leer_recorder_completo,t_extra_grabacion_s,carga_rapida,wos,etiqueta,repeticion,t_asentamiento_s,guardar_figura,estricto,notas,t_servo_us,dt_grabacion_us,duracion_wave_ms,ventana_grabada_ms,n_puntos_wave,n_muestras_pedidas,coherencia_ok,coherencia_bloqueantes,coherencia_avisos,duracion_host_ms,muestras_leidas,ventana_real_ms,ventana_post_wave_ms,error_max_nm,error_rms_nm,frac_usable,dx_por_punto_nm,recorrido_usable_um,t_acel_ms,t_constante_ms,t_usable_ms,t_conv_necesario_ms,hay_zona_usable,v_um_s,error_mediano_nm,tau_desde_lag_ms,residuo_recta_usable_nm,residuo_recta_usable_max_nm,residuo_en_pixeles,error_max_giro_nm,exceso_giro_nm,error_rms_total_nm,error_rms_lag_corregido_nm,archivo
True,20260909_155116,,rampa,100.0,100.0,0.1,20,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.1um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,,341.39227867126465,8192,327.639868944,7.639996943999961,37.5,33.670743080968315,0.38037109375,1.0000004000030458,0.15680000000000405,6.239997504000215,157.67993692800542,124.59995016000002,33.03998678400114,True,1.2562385553171715,-34.30000000000177,27.303731329390544,0.9751866799333906,2.5314086405785474,0.9751862898559044,36.90000000000282,2.600000000001046,23.890984683975113,25.888798522065173,E517_rampa_tau_A0.1um_20260909_155116_r0
True,20260909_155121,,rampa,100.0,100.0,0.1,20,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.1um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,,340.7759666442871,8192,327.639868944,7.639996943999961,38.4,34.14926493775458,0.38037109375,1.0000004000030458,0.15680000000000405,6.239997504000215,157.67993692800542,124.59995016000002,33.03998678400114,True,1.2562385553171715,-34.59999999999752,27.542539475125256,1.3038144604733006,3.360674688579479,1.303813938943754,36.30000000001132,1.7000000000138016,24.231541631998777,26.535418777681613,E517_rampa_tau_A0.1um_20260909_155121_r1
True,20260909_155126,,rampa,100.0,100.0,0.3,20,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.3um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,,342.50807762145996,8192,327.639868944,7.639996943999961,74.6,67.64710533165031,0.3804931640625,3.0000012000277643,0.4702999999999946,5.279997888000182,157.71993691200544,124.63995014400001,33.03998678400114,True,3.7688728853894946,-69.40000000000168,18.413993284050367,1.609604168033604,4.060978718669617,0.5365345080590993,73.599999999999,4.199999999997317,52.22901836035877,34.4323614800072,E517_rampa_tau_A0.3um_20260909_155126_r0
True,20260909_155131,,rampa,100.0,100.0,0.3,20,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A0.3um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,,338.7179374694824,8192,327.639868944,7.639996943999961,73.80000000000001,67.93887234381097,0.3804931640625,3.0000012000277643,0.4702999999999946,5.279997888000182,157.71993691200544,124.63995014400001,33.03998678400114,True,3.7688728853894946,-69.69999999999743,18.49359267864888,1.108064802575311,2.7734066340627805,0.3693547864464375,73.599999999999,3.900000000001569,52.47089652073254,34.619143426037766,E517_rampa_tau_A0.3um_20260909_155131_r1
True,20260909_155136,,rampa,100.0,100.0,1.0,20,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A1um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,,341.5539264678955,8192,327.639868944,7.639996943999961,191.39999999999998,176.65495454849662,0.380615234375,10.050004019998017,1.5679000000000087,5.199997920000179,157.75993689600543,124.67995012799997,33.03998678400114,True,12.563000002355748,-181.89999999999884,14.479025707704361,1.3061113424741833,2.82593614548432,0.12996127562488685,187.20000000000425,5.3000000000054115,157.85277967546057,59.11597321007387,E517_rampa_tau_A1um_20260909_155136_r0
True,20260909_155141,,rampa,100.0,100.0,1.0,20,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A1um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,,340.7320976257324,8192,327.639868944,7.639996943999961,193.20000000000002,175.20188399291067,0.380615234375,10.050004019998017,1.5679000000000087,5.199997920000179,157.75993689600543,124.67995012799997,33.03998678400114,True,12.563000002355748,-180.499999999995,14.367587357012544,1.6148063244091175,3.918523830691356,0.16067718193902136,186.3000000000028,5.800000000007799,157.38983975376183,58.53972186169184,E517_rampa_tau_A1um_20260909_155141_r1
True,20260909_155145,,rampa,100.0,100.0,3.0,20,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A3um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,,341.81714057922363,8192,327.639868944,7.639996943999961,513.9,469.38153462903705,0.380615234375,30.15001206000336,4.703500000000005,5.199997920000179,157.75993689600543,124.67995012799997,33.03998678400114,True,37.688876856775295,-484.2999999999975,12.849945140058885,6.680385560033108,18.321398259473654,0.2215715717372872,504.5999999999964,20.299999999998875,451.06422707798805,134.25570167183312,E517_rampa_tau_A3um_20260909_155145_r0
True,20260909_155150,,rampa,100.0,100.0,3.0,20,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A3um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,,337.5396728515625,8192,327.639868944,7.639996943999961,513.5,472.2080106580304,0.380615234375,30.15001206000336,4.703500000000005,5.199997920000179,157.75993689600543,124.67995012799997,33.03998678400114,True,37.688876856775295,-485.99999999999,12.895051286534217,1.042717946976769,2.8479766662741213,0.03458432934957349,501.3000000000005,15.300000000010527,451.4625026254731,139.52975771703035,E517_rampa_tau_A3um_20260909_155150_r1
True,20260909_155155,,rampa,100.0,100.0,10.0,20,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A10um,0,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,,336.7128372192383,8192,327.639868944,7.639996943999961,1629.3999999999999,1437.2762896037773,0.380615234375,100.50004020001741,15.678399999999996,5.199997920000179,157.75993689600543,124.67995012799997,33.03998678400114,True,125.62945850261896,-1481.349999999999,11.79142231174321,21.728755061120825,43.42358759592457,0.21620643153849267,1629.400000000004,148.05000000000496,1415.826158375295,388.76500411597317,E517_rampa_tau_A10um_20260909_155155_r0
True,20260909_155200,,rampa,100.0,100.0,10.0,20,1,1,50,2000,400,0,False,False,True,False,"(1, 2, 3)","('A', 'A', 'A')","(1, 2, 3)",1,1,A,True,0.0,True,0.0,tau_A10um,1,0.5,False,True,e=v*tau con RTR=1 y tramo recto > 3*tau,39.999984,39.999984,319.99987200000004,327.679868928,400,8192,True,,,343.7650203704834,8192,327.639868944,7.639996943999961,1624.0,1447.11352673683,0.380615234375,100.50004020001741,15.678399999999996,5.199997920000179,157.75993689600543,124.67995012799997,33.03998678400114,True,125.62945850261896,-1475.7999999999925,11.747244775151417,7.784321148816268,20.070209546346973,0.07745590084664383,1623.9999999999952,148.20000000000277,1420.2626178525695,400.19448661456795,E517_rampa_tau_A10um_20260909_155200_r1
