t_ms,target_um,current_um_A,current_um_B
0.0,100.0,99.9829,99.9813
0.039999984,100.0,99.9828,99.9813
0.079999968,100.0,99.9829,99.9813
0.119999952,100.0,99.9829,99.9813
0.159999936,100.0,99.9828,99.9813
0.19999992,100.0,99.9829,99.9813
0.239999904,100.0,99.9828,99.9813
0.279999888,100.0,99.9828,99.9813
0.319999872,100.0,99.9828,99.9813
0.359999856,100.0,99.9828,99.9812
0.39999984,100.0,99.9828,99.9813
0.43999982400000004,100.0,99.9828,99.9813
0.479999808,100.0,99.9828,99.9813
0.519999792,100.0,99.9828,99.9813
0.559999776,100.0,99.9828,99.9812
0.59999976,100.0,99.9828,99.9813
0.639999744,100.0,99.9828,99.9812
0.679999728,100.0,99.9828,99.9812
0.719999712,100.0,99.9828,99.9812
0.759999696,100.0,99.9827,99.9812
0.79999968,100.0,99.9828,99.9812
0.8399996639999999,100.0,99.9828,99.9812
0.8799996480000001,100.0,99.9827,99.9812
0.919999632,100.0,99.9828,99.9812
0.959999616,100.0,99.9828,99.9812
0.9999995999999999,100.0,99.9828,99.9812
1.039999584,100.0,99.9828,99.9812
1.079999568,100.0,99.9828,99.9812
1.119999552,100.0,99.9828,99.9812
1.159999536,100.0,99.9828,99.9812
1.19999952,100.0,99.9828,99.9812
1.239999504,100.0,99.9828,99.9813
1.279999488,100.0,99.9827,99.9812
1.319999472,100.0,99.9827,99.9813
1.359999456,100.0,99.9827,99.9813
1.39999944,100.0,99.9827,99.9813
1.439999424,100.0,99.9827,99.9813
1.4799994079999998,100.0,99.9827,99.9813
1.519999392,100.0,99.9828,99.9813
1.5599993760000002,100.0,99.9828,99.9813
1.59999936,100.0,99.9827,99.9813
1.639999344,100.0,99.9828,99.9813
1.6799993279999998,100.0,99.9827,99.9813
1.719999312,100.0,99.9827,99.9813
1.7599992960000002,100.0,99.9827,99.9814
1.79999928,100.0,99.9827,99.9814
1.839999264,100.0,99.9827,99.9814
1.8799992479999998,100.0,99.9827,99.9814
1.919999232,100.0,99.9827,99.9814
1.959999216,100.0,99.9826,99.9814
1.9999991999999998,100.0,99.9826,99.9814
2.039999184,100.0,99.9826,99.9814
2.079999168,100.0,99.9825,99.9814
2.1199991519999997,100.0,99.9826,99.9814
2.159999136,100.0,99.9826,99.9815
2.19999912,100.0,99.9825,99.9814
2.239999104,100.0,99.9825,99.9814
2.2799990880000003,100.0,99.9825,99.9814
2.319999072,100.0,99.9825,99.9814
2.359999056,100.0,99.9825,99.9814
2.39999904,100.0,99.9824,99.9814
2.439999024,100.0,99.9824,99.9815
2.479999008,100.0,99.9824,99.9815
2.5199989919999997,100.0,99.9824,99.9815
2.559998976,100.0,99.9824,99.9816
2.59999896,100.0,99.9823,99.9816
2.639998944,100.0,99.9823,99.9816
2.679998928,100.0,99.9822,99.9816
2.719998912,100.0,99.9821,99.9816
2.759998896,100.0,99.9821,99.9816
2.79999888,100.0,99.9821,99.9816
2.839998864,100.0,99.9821,99.9816
2.879998848,100.0,99.9821,99.9817
2.9199988319999997,100.0,99.982,99.9816
2.9599988159999997,100.0,99.982,99.9817
2.9999988,100.0,99.9819,99.9816
3.039998784,100.0,99.9819,99.9817
3.079998768,100.0,99.9818,99.9817
3.1199987520000003,100.0,99.9818,99.9817
3.159998736,100.0,99.9818,99.9817
3.19999872,100.0,99.9817,99.9817
3.239998704,100.0,99.9817,99.9817
3.279998688,100.0,99.9816,99.9817
3.319998672,100.0,99.9816,99.9817
3.3599986559999997,100.0,99.9816,99.9817
3.39999864,100.0,99.9816,99.9816
3.439998624,100.0,99.9816,99.9817
3.479998608,100.0,99.9815,99.9816
3.5199985920000003,100.0,99.9815,99.9816
3.559998576,100.0,99.9814,99.9816
3.59999856,100.0,99.9814,99.9816
3.6399985439999996,100.0,99.9814,99.9817
3.679998528,100.0,99.9813,99.9817
3.719998512,100.0,99.9812,99.9816
3.7599984959999997,100.0,99.9812,99.9817
3.79999848,100.0,99.9811,99.9817
3.839998464,100.0,99.9811,99.9817
3.879998448,100.0,99.9811,99.9817
3.919998432,100.0,99.981,99.9817
3.9599984160000004,100.0,99.981,99.9818
3.9999983999999995,100.0,99.9809,99.9818
4.0399983839999996,100.0,99.9809,99.9818
4.079998368,100.0,99.9809,99.9817
4.119998352,100.0,99.9809,99.9817
4.159998336,100.0,99.9808,99.9818
4.19999832,100.0,99.9808,99.9817
4.239998303999999,100.0,99.9807,99.9817
4.279998288,100.0,99.9807,99.9817
4.319998272,100.0,99.9806,99.9817
4.359998256,100.0,99.9806,99.9817
4.39999824,100.0,99.9805,99.9817
4.439998224,100.0,99.9805,99.9817
4.479998208,100.0,99.9805,99.9817
4.519998192,100.0,99.9804,99.9816
4.559998176000001,100.0,99.9803,99.9817
4.59999816,100.0,99.9802,99.9816
4.639998144,100.0,99.9801,99.9816
4.679998127999999,100.0,99.9801,99.9816
4.719998112,100.0,99.98,99.9816
4.759998096,100.0,99.98,99.9815
4.79999808,100.0,99.98,99.9815
4.8399980639999995,100.0,99.9799,99.9815
4.879998048,100.0,99.9799,99.9815
4.919998032,100.0,99.9798,99.9814
4.959998016,100.0,99.9798,99.9814
4.999998000000001,100.0,99.9798,99.9814
5.039997983999999,100.0,99.9797,99.9813
5.079997968,100.0,99.9797,99.9813
5.119997952,100.0,99.9796,99.9813
5.159997936,100.0,99.9795,99.9812
5.19999792,100.0,99.9795,99.9812
5.239997904,100.0,99.9794,99.9812
5.279997888,100.0,99.9794,99.9812
5.319997872,100.0,99.9793,99.9811
5.359997856,100.0,99.9793,99.9811
5.39999784,100.0,99.9793,99.9812
5.439997824,100.0,99.9792,99.9811
5.479997807999999,100.0,99.9792,99.9811
5.519997792,100.0,99.9791,99.9811
5.559997776,100.0,99.9791,99.9811
5.59999776,100.0,99.9791,99.981
5.6399977439999995,100.0,99.9791,99.981
5.679997728,100.0,99.9791,99.9809
5.719997712,100.0,99.979,99.9809
5.759997696,100.0,99.979,99.9809
5.799997680000001,100.0,99.979,99.9808
5.839997663999999,100.0,99.979,99.9808
5.879997648,100.0,99.979,99.9807
5.919997631999999,100.0,99.979,99.9807
5.959997616,100.0,99.979,99.9807
5.9999976,100.0,99.979,99.9807
6.039997584,100.0,99.9789,99.9806
6.079997568,100.0,99.9789,99.9806
6.119997552,100.0,99.9789,99.9806
6.159997536,100.0,99.9789,99.9805
6.19999752,100.0,99.9789,99.9805
6.239997504000001,100.0,99.9789,99.9805
6.279997487999999,100.0,99.9789,99.9804
6.319997472,100.0,99.979,99.9804
6.359997456,100.0,99.9789,99.9804
6.39999744,100.0,99.979,99.9803
6.439997424,100.0,99.979,99.9803
6.479997408,100.0,99.9789,99.9802
6.519997392,100.0,99.9789,99.9802
6.559997376,100.0,99.9789,99.9802
6.59999736,100.0,99.9789,99.9802
6.639997344,100.0,99.9789,99.9801
6.679997328,100.0,99.9789,99.9801
6.719997311999999,100.0,99.9789,99.9801
6.759997296,100.0,99.9789,99.9801
6.79999728,100.0,99.9789,99.98
6.839997264,100.0,99.9789,99.98
6.879997248,100.0,99.9788,99.98
6.919997232,100.0,99.9788,99.98
6.959997216,100.0,99.9789,99.9799
6.9999972,100.0,99.9788,99.9799
7.039997184000001,100.0,99.9788,99.9798
7.079997167999999,100.0,99.9788,99.9798
7.119997152,100.0,99.9788,99.9798
7.159997135999999,100.0,99.9788,99.9797
7.19999712,100.0,99.9788,99.9796
7.239997104,100.0,99.9787,99.9796
7.279997087999999,100.0,99.9787,99.9795
7.319997072,100.0,99.9787,99.9795
7.359997056,100.0,99.9787,99.9795
7.39999704,100.0,99.9786,99.9795
7.439997024,100.0,99.9786,99.9795
7.479997008,100.0,99.9786,99.9794
7.519996991999999,100.0,99.9786,99.9794
7.559996976,100.0,99.9786,99.9794
7.59999696,100.0,99.9786,99.9794
7.639996944,100.0,99.9787,99.9794
7.679996928,100.0,99.9787,99.9793
7.719996912,100.0,99.9787,99.9793
7.759996896,100.0,99.9787,99.9792
7.79999688,100.0,99.9787,99.9792
7.839996864,100.0,99.9787,99.9792
7.879996848,100.0,99.9787,99.9792
7.919996832000001,100.0,99.9787,99.9792
7.959996816,100.0,99.9788,99.9792
7.999996799999999,100.0,99.9788,99.9791
