t_ms,current_um_A,current_um_B,target_um
5.439997824,99.4703,99.921,99.5
5.479997807999999,99.4702,99.9197,99.5
5.519997792,99.4702,99.9185,99.5
5.559997776,99.4701,99.9172,99.5
5.59999776,99.47,99.9159,99.5
5.6399977439999995,99.47,99.9146,99.5
5.679997728,99.47,99.9132,99.5
5.719997712,99.4701,99.9119,99.5
5.759997696,99.47,99.9106,99.5
5.799997680000001,99.4699,99.9092,99.5
5.839997663999999,99.4699,99.9078,99.5
5.879997648,99.4698,99.9064,99.5
5.919997631999999,99.4698,99.905,99.5
5.959997616,99.4698,99.9035,99.5
5.9999976,99.4697,99.9021,99.5
6.039997584,99.4697,99.9007,99.5
6.079997568,99.4696,99.8991,99.5
6.119997552,99.4696,99.8977,99.5
6.159997536,99.4695,99.8962,99.5
6.19999752,99.4695,99.8946,99.5
6.239997504000001,99.4695,99.893,99.5
6.279997487999999,99.4695,99.8914,99.5
6.319997472,99.4694,99.8899,99.5
6.359997456,99.4694,99.8883,99.5
6.39999744,99.4694,99.8867,99.5
6.439997424,99.4694,99.8851,99.5
6.479997408,99.4694,99.8834,99.5
6.519997392,99.4694,99.8818,99.5
6.559997376,99.4694,99.8801,99.5
6.59999736,99.4693,99.8784,99.5
6.639997344,99.4693,99.8768,99.5
6.679997328,99.4693,99.8751,99.5
6.719997311999999,99.4693,99.8734,99.5
6.759997296,99.4693,99.8717,99.5
6.79999728,99.4693,99.87,99.5
6.839997264,99.4693,99.8683,99.5
6.879997248,99.4692,99.8665,99.5
6.919997232,99.4692,99.8648,99.5
6.959997216,99.4692,99.863,99.5
6.9999972,99.4692,99.8612,99.5
7.039997184000001,99.4692,99.8595,99.5
7.079997167999999,99.4692,99.8577,99.5
7.119997152,99.4692,99.8559,99.5
7.159997135999999,99.4692,99.854,99.5
7.19999712,99.4692,99.8522,99.5
7.239997104,99.4692,99.8504,99.5
7.279997087999999,99.4692,99.8486,99.5
7.319997072,99.4692,99.8468,99.5
7.359997056,99.4692,99.845,99.5
7.39999704,99.4692,99.8431,99.5
7.439997024,99.4692,99.8413,99.5
7.479997008,99.4692,99.8394,99.5
7.519996991999999,99.4692,99.8376,99.5
7.559996976,99.4692,99.8358,99.5
7.59999696,99.4692,99.8339,99.5
7.639996944,99.4692,99.8321,99.5
7.679996928,99.4691,99.8302,99.5
7.719996912,99.4692,99.8284,99.5
7.759996896,99.4692,99.8265,99.5
7.79999688,99.4692,99.8247,99.5
7.839996864,99.4691,99.8229,99.5
7.879996848,99.4691,99.821,99.5
7.919996832000001,99.4691,99.8192,99.5
7.959996816,99.4691,99.8173,99.5
7.999996799999999,99.4691,99.8156,99.5
8.039996784,99.469,99.8137,99.5
8.079996767999999,99.469,99.8119,99.5
8.119996751999999,99.4689,99.81,99.5
8.159996736,99.4689,99.8082,99.5
8.19999672,99.4688,99.8064,99.5
8.239996704,99.4688,99.8045,99.5
8.279996688,99.4688,99.8027,99.5
8.319996672,99.4688,99.8009,99.5
8.359996656,99.4688,99.7991,99.5
8.39999664,99.4687,99.7972,99.5
8.439996623999999,99.4687,99.7954,99.5
8.479996607999999,99.4686,99.7936,99.5
8.519996592,99.4686,99.7918,99.5
8.559996576,99.4686,99.7899,99.5
8.59999656,99.4686,99.7881,99.5
8.639996544,99.4686,99.7864,99.5
8.679996528,99.4686,99.7845,99.5
8.719996512,99.4685,99.7827,99.5
8.759996496000001,99.4685,99.7809,99.5
8.79999648,99.4685,99.7791,99.5
8.839996463999999,99.4684,99.7773,99.5
8.879996448,99.4684,99.7755,99.5
8.919996432,99.4683,99.7737,99.5
8.959996416,99.4683,99.772,99.5
8.9999964,99.4682,99.7701,99.5
9.039996384,99.4683,99.7684,99.5
9.079996368,99.4682,99.7666,99.5
9.119996352000001,99.4682,99.7648,99.5
9.159996336,99.4682,99.7631,99.5
9.19999632,99.4682,99.7612,99.5
9.239996304,99.4682,99.7595,99.5
9.279996288,99.4682,99.7577,99.5
9.319996272,99.4682,99.7559,99.5
9.359996255999999,99.4682,99.7542,99.5
9.39999624,99.4681,99.7525,99.5
9.439996224,99.4681,99.7507,99.5
9.479996208,99.4681,99.749,99.5
9.519996192,99.468,99.7472,99.5
9.559996176,99.4681,99.7456,99.5
9.59999616,99.468,99.7438,99.5
9.639996144,99.468,99.7421,99.5
9.679996127999999,99.4681,99.7405,99.5
9.719996111999999,99.468,99.7388,99.5
9.759996096,99.468,99.7371,99.5
9.79999608,99.468,99.7354,99.5
9.839996064,99.468,99.7336,99.5
9.879996048,99.468,99.732,99.5
9.919996032,99.4679,99.7303,99.5
9.959996016,99.4679,99.7287,99.5
9.999996000000001,99.4679,99.7271,99.5
10.039995983999999,99.4679,99.7254,99.5
10.079995967999999,99.468,99.7238,99.5
10.119995952,99.4679,99.7222,99.5
10.159995936,99.4679,99.7206,99.5
10.19999592,99.4679,99.7191,99.5
10.239995904,99.4679,99.7174,99.5
10.279995888,99.4679,99.7159,99.5
10.319995872,99.4679,99.7143,99.5
10.359995856000001,99.4678,99.7127,99.5
10.39999584,99.4679,99.7112,99.5
10.439995824,99.4678,99.7097,99.5
10.479995808,99.4678,99.7081,99.5
10.519995792,99.4678,99.7066,99.5
10.559995776,99.4678,99.7051,99.5
10.599995759999999,99.4678,99.7036,99.5
10.639995744,99.4678,99.7021,99.5
10.679995728,99.4678,99.7007,99.5
10.719995712,99.4678,99.6993,99.5
10.759995696,99.4677,99.6978,99.5
10.79999568,99.4677,99.6964,99.5
10.839995664,99.4678,99.695,99.5
10.879995648,99.4677,99.6935,99.5
10.919995632,99.4677,99.6921,99.5
10.959995615999999,99.4677,99.6907,99.5
10.9999956,99.4677,99.6893,99.5
11.039995584,99.4677,99.6879,99.5
11.079995568,99.4677,99.6864,99.5
